context,questions,answers
"Any payment from you will be credited to your total outstanding balance once it has been received, cleared and processed by us. You may pay by one-off payment from your Metro Bank account or your account at another bank, or by bringing cash or a cheque into any Metro Bank store. It is your responsibility to allow sufficient time for any payment to be received, cleared and processed by the due date for payment. When a payment clears depends on how it was made and where it came from. Full details of how to make payments are available at any store or online. You can also call us to find out more information. You will not be held responsible if a payment is late because we failed to process it as soon as we received it. If at any time your account has a credit balance (for example, if you pay more than the outstanding balance on your account) we will not pay you any interest on the credit balance but will use it as a contribution towards future monthly payments unless you instruct us otherwise."," If at any time your account has a credit balance, is there any interest you will receive from Metro Bank?","No,you can  use it as a contribution towards future monthly payments"
11.15 “you/your/Customer” means the Business., What does “you/your/Customer” mean?,It means the Business.
"2.2 You will ensure that if a User forgets their Password or suspects that someone else knows it, you or the User will notify us immediately by calling 0345 072 5555 or your relationship manager.", What should you ensure if a User forgets their Password or suspects that someone else knows it?,You or the User will notify us immediately by calling 0345 072 5555 or your relationship manager.
"Opening times and services may vary depending on the type of branch you use. Not all our services are available everywhere, or at all times. For example, some branches are open without offering counter services in the evenings or weekends, and some branches are Counter-free, mainly giving self-service access to your accounts. Please check available services, times and any transaction limits with the branch you want to use.","Are all our services available 
everywhere, or at all times?","No,not all our services are available 
everywhere, or at all times. For example, some branches 
are open without offering counter services in the evenings 
or weekends, and some branches are Counter-free, mainly 
giving self-service access to your accounts. Please check 
available services, times and any transaction limits with the 
branch you want to use"
All overdrafts are subject to application and approval. They are repayable on demand,Are all overdrafts subject to application and approval?,"Yes,all overdrafts are subject to application and approval. They 
are repayable on demand"
There are limits on the number of accounts you can have and what you can then do.,"Are there limits on the number of accounts you can have 
and what you can then do?","Yes ,there are limits on the number of accounts you can have 
and what you can then do."
"There are some charges that are made at the time we 
provide you with the service, for example, when you use your 
debit card to withdraw cash or make a payment in a currency 
other than pounds.","Are there some charges that are made at the time we 
provide you with the service?","Yes,there are some charges that are made at the time we 
provide you with the service, for example, when you use your 
debit card to withdraw cash or make a payment in a currency 
other than pounds."
None of the Lifestyle Benefits can be combined with any other offer or exchanged for cash or other alternatives.,"Can the Lifestyle Benefits  be combined with any 
other offer or exchanged for cash or other alternatives?","No,none of the Lifestyle Benefits can be combined with any 
other offer or exchanged for cash or other alternatives. "
1.7 We cannot change or alter direct debits unless the originator agrees. You should contact them direct.,Can we change or alter direct debits?,"No, we cannot change or alter direct debits unless the originator agrees. You should contact them direct."
"3.19 We may refuse to make a Transaction where: a. there are insufficient available funds in the Account;b. where it is reasonable to do so, for example if you are in breach of this Agreement, or we (or the systems we use) reasonably suspect that the Transaction is fraudulent; orc. we are unable to make a Transaction in accordance with the terms of this Agreement.",Can we make a Transaction if there are insufficient available funds in the Account?,"No, we cannot make a Transaction if there are insufficient available funds in the Account."
"4.3.4 When we are assessing whether a payment transaction was authorised by you we cannot necessarily treat the use of the Password as sufficient evidence of such authorisation, although  this is one of the factors that we will take into consideration.",Can we necessarily treat the use of the Password as sufficient evidence of such authorisation when we are assessing whether a payment transaction was authorised by you?,"No, although this is one of the factors that we will take into consideration."
 You cannot apply to add a Club Lloyds benefits package to an Added Value Account which is no longer on sale,Can you apply to add a Club Lloyds benefits package to an Added Value Account which is no longer on sale?,"No,you cannot apply to add 
a Club Lloyds benefits package to an Added Value Account 
which is no longer on sale"
"You can avoid paying daily arranged overdraft interest if your balance goes overdrawn during the day but you pay money into your account later the same day to bring it back into credit. You have until the end of the day to get your account back into credit and avoid paying daily arranged overdraft interest for that day. The money needs to be immediately available to use, so you could transfer money from another personal account you have with us via Mobile Banking, Internet Banking or Telephone Banking or pay in cash directly over the counter at one of our branches.",Can you avoid paying daily arranged overdraft interest?,"Yes,you can avoid paying daily arranged overdraft interest if your 
balance goes overdrawn during the day but you pay money 
into your account later the same day to bring it back into credit. 
You have until the end of the day to get your account back into 
credit and avoid paying daily arranged overdraft interest for 
that day. The money needs to be immediately available to use, 
so you could transfer money from another personal account 
you have with us via Mobile Banking, Internet Banking or 
Telephone Banking or pay in cash directly over the counter at 
one of our branches."
"If arranged overdrafts are available on your account, you can apply for one. We base any decision to offer you an arranged overdraft on your eligibility",Can you have an arranged overdraft?,"Yes,If arranged overdrafts are available on your account, you can 
apply for one. We base any decision to offer you an arranged 
overdraft on your eligibility"
"You can join Barclays Blue Rewards with any eligible current account. If you have a Barclays Basic Current Account, a Young Person’s Account, BarclayPlus, a Foreign Currency Account, or a Barclays Wealth or Barclays Business Account, we’re sorry, but you can’t use these to join Barclays Blue Rewards.",Can you join Barclays Blue Rewards with a Barclays Basic Current Account?,"No, you cannot join Barclays Blue Rewards with Barclays Basic Current Account."
"Without our consent you must not open or use a personal account to hold money for someone else (including as a trustee or 
personal representative) or for the purpose of a business, club, charity or other organisation. We have different agreements 
for customers who are not personal customers. ",Can you open or use a personal account to hold money for someone else?,"Without our consent you must not open or use a personal account to hold money for someone else (including as a trustee or personal representative) or for the purpose of a business, club, charity or other organisation. We have different agreements for customers who are not personal customers."
"You should not allow anyone else to have or use your card, PIN or other security details - even additional cardholders. You must tell us immediately if you lose your credit card. If you find your card after calling us, you must not use the card again and should destroy it by cutting it into a least two pieces through the magnetic stripe and the chip.",Can you use the card again when you find your lost card?,"NO,you should destroy it by cutting it into a least two pieces through the magnetic stripe and the chip."
You can use your debit card to make balance enquiries at any Post Office,Can you use your debit card to make balance enquiries at any Post Office?,"Yes,You can use your debit card to make balance 
enquiries at any Post Office"
We no longer offer these accounts to new customers,Do we offer these accounts to new customers?,We no longer offer these accounts to new customers
We do not provide a cheque book or arranged overdraft on this account.,"Do we provide a cheque book or 
arranged overdraft on this account?","No,we do not provide a cheque book or 
arranged overdraft on this account."
"We also have accounts that offer additional benefits, such as insurance or lifestyle benefits, details of which are included in the special conditions or policy terms for that account.",Do you have accounts that offer additional benefits?,"Yes,we have accounts that offer additional benefits, 
such as insurance or lifestyle benefits, details of which are 
included in the special conditions or policy terms for that 
account."
. Depending on your personal circumstances you may need to pay tax on the interest you earn. You will be responsible for paying any tax you may owe to HM Revenue & Customs (HMRC).,"Do you need to pay tax on the 
interest you earn?","Yes,you may need to pay tax on the 
interest you earn depending on your 
personal circumstances.You will be responsible for paying any 
tax you may owe to HM Revenue & Customs (HMRC)"
"This does not affect any rights and obligations you or we have under data protection 
legislation. You may withdraw this consent by closing your account.","Does it affect any rights and obligations you or we have under data protection 
legislation?","No,this does not affect any rights and obligations you or we have under data protection 
legislation. You may withdraw this consent by closing your account"
"For more information on how we can use your data, please 
see our privacy notice (including the ‘Your Rights’ section). 
This is available at https://www.lloydsbank.com/
help-guidance/customer-support/privacy-explained/
data-privacy-notice.asp, as a leaflet in branch or by 
asking us.",How can I get more information on how we can use your data?,"Please 
see our privacy notice (including the ‘Your Rights’ section). 
This is available at https://www.lloydsbank.com/
help-guidance/customer-support/privacy-explained/
data-privacy-notice.asp, as a leaflet in branch or by 
asking us."
"You can choose to have either a Cashpoint card for accessing your money at cash machines only – both in the UK and outside the UK – or a Lloyds Bank Visa debit card which you can use to pay for things in shops, on the Internet and to access your money at cash machines – both in the UK and outside the UK.",How can I pay for things in shops or access your money at cash machines?,"You can choose to have either a Cashpoint card for accessing your money at cash machines only – both in the UK and outside the UK – or a Lloyds Bank Visa debit card which you can use to pay for things in shops, on the Internet and to access your money at cash machines – both in the UK and outside the UK."
"We may contact you by post, telephone and electronically using the contact details you give us, including any address you have agreed we should use for electronic communications. We will use these same contact details and appropriate secure procedures to make contact if we suspect fraud or a security threat. We never ask for details about your account, devices, security details or any confidential information by email. So please do not reply to an email asking for this information.                                You must tell us if your name or contact details change. If you don’t tell us, we will not be responsible if we cannot contact you or we send confidential information to an old address. We may charge reasonable costs for trying to find you if your contact details are out of date.Recording calls",How can we contact you?,"We may contact you by post, telephone and electronically using the contact details you give us, including any address you have agreed we should use for electronic communications. We will use these same contact details and appropriate secure procedures to make contact if we suspect fraud or a security threat. We never ask for details about your account, devices, security details or any confidential information by email. So please do not reply to an email asking for this information. You must tell us if your name or contact details change. If you don’t tell us, we will not be responsible if we cannot contact you or we send confidential information to an old address. We may charge reasonable costs for trying to find you if your contact details are out of date.Recording calls"
"We will always write to you at least 
two months before to let you know what’s changing",How can you  know what’s changing?,We will always write to you at least two months before to let you know what’s changing
"To be eligible to join Premier Banking, you must have an annual gross income paid into a Barclays current account of £75,000+  and/or £100,000+ saved or invested through Barclays. ",How can you be eligible to join Premier Banking?," You must have an annual gross income paid into a Barclays current account of £75,000+  and/or £100,000+ saved or invested through Barclays. "
"We can also issue a card to another person (an ‘additional cardholder’) if you ask us to. You can ask us in writing, over the telephone or by coming into a Metro Bank store. The use of any additional cards that we issue is governed by this agreement. You are responsible for ensuring that any additional cardholder understands and complies with the terms of this agreement and any other written notices we send to you. You will be responsible for the acts or omissions of an additional cardholder as if they were your own. You can cancel additional cards, if you wish to, by writing to us or by telephone or by coming into a Metro Bank store.",how can you do if you wish to add or cancel additional cards?,you can write to us or give us a call or come  into a Metro Bank store.
Click barclays.co.uk/overdrafts Come in to a branch,How can you find out more about arranged overdraft charges?,By clicking barclays.co.uk/overdrafts Come in to a branch.
"To find out more about Premier Banking, visit  barclays.co.uk/premierbanking or ask at a branch. ",How can you find out more about Premier Banking?,By visiting barclays.co.uk/premierbanking or ask at a branch. 
To have a Student Account you must be studying for a full-time course that lasts for a minimum of two years or be on a one year access course leading onto a full-time degree.,How can you get a Student Account?,"You must be studying for a 
full-time course that lasts for a minimum of two years or 
be on a one year access course leading onto a full-time 
degree. "
"If you have a hearing or speech impairment you can use Text Relay (previously Typetalk) or if you would prefer to use a Textphone, please feel free to call us on 0345 601 6909 (lines open 7am-8pm Monday to Friday and 9am-2pm Saturdays).",How can you get the information if you have a hearing or speech impairmen?," You can use Text Relay (previously Typetalk) or if you would prefer to use a Textphone, please feel free to call us on 0345 601 6909 (lines open 7am-8pm Monday to Friday and 9am-2pm Saturdays)."
"i    If you opened your account a while ago and it’s not one  we still offer to new customers, this tariff won’t apply to it.  You can get the tariff for older accounts (such as  Additions accounts) by asking in branch or visiting  barclays.co.uk/welcomepacks",How can you get the tariff for older accounts (such as  Additions accounts)?,By asking in branch or visiting  barclays.co.uk/welcomepacks.
"Further details 
about our Club Lloyds banking offers, and the conditions 
that govern these products, can be viewed at 
lloydsbank.com, in our UK branches or by phoning us 
on 0345 300 0000","How can you know further details 
about our Club Lloyds banking offers, and the conditions 
that govern these products?","These can be viewed at lloydsbank.com, in our UK branches or by phoning us on 0345 300 0000."
If you’d like to know more about Barclays Blue Rewards please visit barclays.co.uk/bluerewards or visit your local branch.,How can you know more about Barclays Blue Rewards?,By visiting barclays.co.uk/bluerewards or visit your local branch.
"For a monthly fee you can choose our value added packs. Fees are taken on the first working day of each month. Packs, and the overdraft associated with some packs are subject to change and eligibility. For full details please visit barclays.co.uk/packs or ask in branch. ",How can you learn more full details about pack fees?,By visiting barclays.co.uk/packs or ask in branch. 
You can use our calculator on barclays.co.uk/youroverdraft to work out how much your anticipated arranged overdraft borrowing would cost over different periods of up to 31 days.,How can you work out how much your anticipated arranged overdraft borrowing would cost over different periods of up to 31 days？,By using our calculator on barclays.co.uk/youroverdraft.
1.5 The Service is free. The Business will however be liable for the normal costs of all calls and the normal charges for the Transactions which are set out in the “Charges” brochure which was provided to you on account opening (unless other charges were agreed when you opened the account). We can also give you information about the charges for Transactions on request when a User calls.,How could you know about the normal costs of all calls and the normal charges for the Transactions?,They will be set out in the “Charges” brochure which was provided to you on account opening (unless other charges were agreed when you opened the account).
• After we give you notice. We will give you at least 14 days’ advance notice on your statement of the total amount of any arranged overdraft interest charges before they are taken from your account. ,How long will advance notice take on your statement of the total amount of any arranged overdraft interest charges before they are taken from your account?,At least 14 days.
"We’ll always try to be clear with you about how long it’s going to take for us to do what you ask. Our working days are generally Monday to Friday except public holidays. We’ll start work on your instruction to make a payment on the same working day we receive it, except if it is after the cut-off time for accepting new instructions for that day. In that case, we’ll process it the next working day. Different types of payment instructions have different cut-off times.",How long will our working days last?,Our working days are generally Monday to Friday except public holidays.
The benefit selected will apply for a year after which you will be given the option to change the benefit you wish to take.,"How long will The benefit 
selected last?",The benefit selected will apply for a year after which you will be given the option to change the benefit you wish to take.
The time this takes will vary depending on both the bank and the country we have to present the cheque to. This could be up to eight weeks. The cleared funds received may not match the value of the cheque as the overseas bank may take a charge. Once Barclays has received funds we will deduct our charges and credit your account with the net proceeds. Where we need to convert the funds into the currency of your account then the relevant Foreign Exchange Rate on the day we process the payment will be used. ,How long will the collections take?,"It could be up to eight weeks, it will vary depending on both the bank and the country we have to present the cheque to."
"We will give you at least 28 calendar days’ notice before we disclose information about any default (which is not being disputed) by you to the CRAs. We may give you this notice at the time we take formal action against you. This will give you at least 28 calendar days to try to repay or come to some other satisfactory arrangement with us before we pass your default information to the CRAs. If we do disclose your default information to the CRAs, this may affect your ability to obtain further credit.",How long will we give you notice before we disclose information about any default (which is not being disputed) by you to the CRAs？,at least 28 calendar days.
"If the change is an increase to your interest rate, we will give you at least 60 calendar days’ notice.",How long will we give you notice before we plan to increase your interest in the agreement?,at least 60 calendar days.
"We will give you at least 30 calendar days’ notice for all changes under this condition, unless the change is to your advantage. In this case, we will still give you notice but we may make the change more quickly. ",How long will we give you notice before we plan to make changes in the agreement?,at least 30 calendar days.
You can have up to two Basic Accounts; one account must be in your sole name and one in joint names. Either of you can sign and give instructions on behalf of the other.,How many Basic Account can you have?,You can have up to two Basic Accounts; one account must be in your sole name and one in joint names. Either of you can sign and give instructions on behalf of the other.
"You have 30 days from the date the account is opened to select the benefit you wish to receive, and the chosen benefit will commence at the end of that period.","How many days do you have  from the date the account is opened 
to select the benefit you wish to receive?","You have 30 days from the date the account is opened to select the benefit you wish to receive, and the chosen benefit will commence at the end of that period."
"You can only have one 
Graduate Account in your sole name.",How many Graduate Account can you have?,You can only have one Graduate Account in your sole name.
"You can only have one Student Account with us 
in your sole name and you cannot have a Student Account 
with another provider. ",How many Student Account can you have?,You can only have one Student Account with us in your sole name and you cannot have a Student Account with another provider.
You can only have an account in your sole name.,How many Under 19s Account can you have?,You can only have an account in your sole name.
"You can only have the Graduate Account for up to three 
years from graduation.",How many years can you have the Graduate Account?,You can only have the Graduate Account for up to three years from graduation.
"As long as there is enough money in your account, you can use your debit card to take out money from our branches with counters or from a Lloyds Bank or other cash machine or Post Office®, but there are limits to the amounts you can have every day. At Counter-free branches you can only take out cash (notes only) using one of the Cashpoint machines. If you use a Mobile Branch, you will usually be able to withdraw up to £500 a day in cash or up to £1,500 a day if pre-ordered 48 hours before",How much cash can I take out each day?,"As long as there is enough money in your account, you can use your debit card to take out money from our branches with counters or from a Lloyds Bank or other cash machine or Post Office®, but there are limits to the amounts you can have every day. At Counter-free branches you can only take out cash (notes only) using one of the Cashpoint machines. If you use a Mobile Branch, you will usually be able to withdraw up to £500 a day in cash or up to £1,500 a day if pre-ordered 48 hours before"
